fec_name,office,website
ElizabethBBennett-Parker,House,https://www.elizabethfordelegate.com
RichardCRipSullivanJr,House,ripsullivan.com
KarenAKeys-Gamarra,House,karenkeysgamarra.com
LuellenHoffmanMaskeny,House,https://www.Hoffman4Reston.com
KarrieKDelaney,House,https://www.karriedelaney.com
NhanCHuynh,House,huynhforvirginia.com
DanIHelmer,House,https://www.danhelmer.com
JamesAThomasJr,House,https://www.thomasforvirginia.com
TimmyFFrench,Senate,https://www.timmyfrench.com/
JoshuaJHuffman,Senate,https://principlesbeforeparty.com/
RobertWBeckman,Senate,https://www.beckman4senate.com/
PhilipAHamilton,Senate,https://www.hamiltonforvasenate.com/
NatanDMcKenzie,Senate,https://natanmckenzieforva12.com/
DouglassHaydenFisher,Senate,https://www.haydenfisherforvirginia.com/
LLouiseLucas,Senate,https://www.senatorlouiselucas.com/
ChristieNewCraig,Senate,https://christienewcraig.com/
JasonAFord,Senate,https://fordforva.com/
ElizabethGMelson,Senate,https://melsonforvirginia.com/
BillCWoolfIII,Senate,https://www.woolf4va.com/
RussetWPerry,Senate,https://russetperry.com/
DavidAHenshaw,Senate,https://www.henshaw4va.com/
