Candidate Name,Office Title,Campaign Website
Kristin L. Hoffman,House,https://kristin4delegate.org/
Irene Shin,House,https://www.ireneforva.com/
Max B. Fisher,House,https://www.maxfisherforvirginia.com/home
Curtis L. Wells Jr.,House,
Edward F. McGovern,House,https://www.edmcgovernva.org/
John S. Gray,House,
Rafi M. Khaja,House,
Paul K. Lott,House,https://paullottfordelegate.com/
Jonathan Mark Rogers,House,
Steven E. Foreman,House,
Bob W. Smith,House,
Esther M. Nizer,House,https://www.nizer4va.org/
Stephanie R. Clark,House,
Terry L. Austin,House,https://www.delegateterryaustin.com/
Misty Dawn Vickers,House,
"David M. ""Tiger Dave"" Ratliff",House,
"Jonathan E. ""Jed"" Arnold",House,
Patricia Lynn Quesenberry,House,https://www.quesenberryforvirginia.com/platform
Jacob C. Frogel,House,
"D.W. ""Danny"" Marshall III",House,
Joshua K. Blakely,House,
Thomas C. Wright Jr.,House,
Kimberly A. Moran,House,https://www.kmoran4va.org/
Eric R. Zehr,House,https://www.zehrfordelegate.org/
Samuel R. Soghor,House,
Keith Patrick Braxton,House,
Larry J. Jackson,House,https://www.friendsoflarryjackson.com/
Mark J. Lux,House,https://www.luxforvirginia.com/
John Q. Smith,House,https://www.johnqforva.org/
Hillary Pugh Kent,House,https://www.hillarypughkentva.com/
W. Chad Green,House,https://greenfordelegate.com/
Bilal Z. Raychouni,House,
Herb L. Walke Jr.,House,
Debra D. Gardner,House,https://debragardnerfordelegate.com/
Duc M. Truong,House,https://www.ducforvirginia.com/
Mary L. Person,House,
"Jarris Louis Taylor, Jr.",House,
"James M. ""Jim"" Wright",House,
Karen L. Jenkins,House,https://karenforvirginia.com/
Elijah Colon,House,
Michael L. Durig,House,
Karen S. Greenhalgh,House,https://karengreenhalgh.com/
Charlena Jones,House,
Timmy F. French,Senate,https://www.timmyfrench.com/
Kathy A. Beery,Senate,
Joshua J. Huffman,Senate,https://principlesbeforeparty.com/
Robert W. Beckman,Senate,https://www.beckman4senate.com/
Donna M. St. Clair,Senate,
Philip A. Hamilton,Senate,https://www.hamiltonforvasenate.com/
Natan D. McKenzie,Senate,https://natanmckenzieforva12.com/
Douglass Hayden Fisher,Senate,https://www.haydenfisherforvirginia.com/
L. Louise Lucas,Senate,https://www.senatorlouiselucas.com/
Myra J. Payne,Senate,
Christie New Craig,Senate,https://christienewcraig.com/
"Giovanni G. ""Gio"" Dolmo",Senate,
Pamela R. Garner,Senate,
Jason A. Ford,Senate,https://fordforva.com/
Elizabeth G. Melson,Senate,https://melsonforvirginia.com/
"Bill C. Woolf, III",Senate,https://www.woolf4va.com/
Russet W. Perry,Senate,https://russetperry.com/
Mark A. Springman,Senate,
David A. Henshaw,Senate,https://www.henshaw4va.com/
