fec_name,office,website
PatrickAHope,House,https://hopeforvirginia.org
MajorMikeWebb,House,https://www.MajorMikeWebb.org
KarenAKeys-Gamarra,House,https://karenkeysgamarra.com
DanIHelmer,House,https://www.danhelmer.com
AlmiraMohammed,House,https://www.almiraforvirginia.com
LauraJaneHCohen,House,https://laurajanecohen.com
MarcusTEvans,House,https://marcusforva15.com
RoziaAJRHensonJr,House,https://www.Henson4VA.com
SharonEAshurst,House,https://sharon4vahd20.com
CandiPatriceMundonKing,House,https://candikingforva.com
LukeETorian,House,https://www.delegatetorian.com
FernandoJMartyMartinez,House,https://martyfordelegate.com
GearyMHiggins,House,https://www.gearyhiggins.com
DeloresROates,House,https://www.deloresfordelegate.com
MadelynMadyRodriguez,House,https://www.madyforvirginia.com
CToddGilbert,House,https://delegatetoddgilbert.com
TonyOWilt,House,https://www.wiltfordelegate.com
ChrisSRunion,House,https://chrisrunion.com
RandallKWolf,House,https://wolf4delegate.com
SSamRasoul,House,https://sam4va.com
WilliamPDavis,House,https://davisfordelegate.com
LillianVFranklin,House,https://lilyfordelegate.com
JamesWWillMorefield,House,https://http://www.willmorefield.com
IsraelDO'Quinn,House,https://israeloquinn.com
TerryGKilgore,House,https://delegatekilgore.com
TimothyPGriffin,House,https://griffinforvirginia.com
KatrinaECallsen,House,https://katrinacallsen.com
ThomasATomGarrettJr,House,https://www.tomfordelegate.com
ScottAWyatt,House,https://votescottwyatt.com
MichaelJWebert,House,https://michael-webert.com
PaulVMildeIII,House,https://http://www.paulmilde.com
MKeithHodges,House,https://keithhodges98.com
MattJWaters,House,https://www.mattwaters.com
JessicaLAnderson,House,https://jessicaandersonforvirginia.com
MarkLEarleyJr,House,https://markearleyforva.com
MichaelACherry,House,https://mikecherryforva.com
StephenCMiller-PittsJr,House,https://www.millerpitts4va.com
BetsyBCarr,House,https://betsycarr.org
DeloresLMcQuinn,House,https://deloresmcquinn.net
HOttoWachsmannJr,House,https://ottowachsmann.com
NadariusEClark,House,https://clarkfordelegate.com
ACCordoza,House,https://cordozaforvirginia.com
NBaxterEnnis,House,https://baxterennis.com
JeremyDRodden,House,https://www.jeremyrodden.com
JamesAJayLeftwichJr,House,https://www.jayleftwich.com
BonitaGraceAnthony,House,https://www.bonitaforva.com
PhilMHernandez,House,https://www.philforvirginia.com
AndrewBAndyPittman,House,https://andyfornorfolk.com
MichaelCKarslake,House,https://www.mikekarslake.com
BarryDKnight,House,https://www.barryknight.com
JadeDHarris,Senate,https://jadeharrisva.com
DavidRobertSuetterlein,Senate,https://suetterlein.com
MarkJPeake,Senate,https://peakeforsenate.com
JohnJMcGuireIII,Senate,https://mcguireforvirginia.com
LashrecseDAird,Senate,https://lashrecseaird.com
SiobhanSDunnavant,Senate,https://dunnavantdelivers.com
EmilyMarieBrewer,Senate,https://www.brewerforva.com
AnthonyWTonyGoodwin,Senate,https://www.agoodwinforportsmouth.com
KevinHAdams,Senate,https://kevinadamsforsenate.com
NikkiNRattrayBaldwin,Senate,https://nikkibaldwin.com
DanicaARoem,Senate,https://www.danicaforsenate.com
JuanPabloSegura,Senate,https://jpsva.com
SuhasSubramanyam,Senate,https://suhasforvirginia.com
MikeLVanMeter,Senate,https://vanmeterforva.com
ScottASurovell,Senate,https://www.scottsurovell.com
MarkBVafiades,Senate,https://markforva.com
JulieAnnaPerry,Senate,https://julieforsenate.com
SaddamAzlanSalim,Senate,https://salimforsenate.com
SophiaCMoshasha,Senate,https://www.sophia4va.com
BarbaraAFavola,Senate,https://www.barbarafavola.org
